WKT,kenyaopendata:Boys Toilets,kenyaopendata:Costituency,kenyaopendata:District,kenyaopendata:Division,kenyaopendata:GOK TSC Female,kenyaopendata:GOK TSC Male,kenyaopendata:Girls Toilets,kenyaopendata:Level of Education,kenyaopendata:Local Authority Female,kenyaopendata:Local Authority Male,kenyaopendata:Location,kenyaopendata:Non-Teaching Staff Female,kenyaopendata:Non-Teaching Staff Male,kenyaopendata:Others Female,kenyaopendata:Others Male,kenyaopendata:PTA BOG Female,kenyaopendata:PTA BOG Male,kenyaopendata:Province,kenyaopendata:Pupil Classroom Ratio,kenyaopendata:Pupil Teacher Ratio,kenyaopendata:Pupil Toilet Ratio,kenyaopendata:School Institution Type_1,kenyaopendata:School Institution Type_2,kenyaopendata:School Institution Type_3,kenyaopendata:Sponsor of School,kenyaopendata:Status of School,kenyaopendata:Teachers Toilets,kenyaopendata:Total Boys,kenyaopendata:Total Enrolment,kenyaopendata:Total Girls,kenyaopendata:Total Number of Classrooms,kenyaopendata:Total Toilets,kenyaopendata:official_name,osm:_timestamp,osm:_user,osm:accessibility,osm:amenity,osm:boundary_type:Ward_boundary,osm:building:levels,osm:building:material,osm:building:roof,osm:contact:address,osm:contact:phone,osm:education:curriculum,osm:education:exam_center,osm:education:extra_drama,osm:education:extra_music,osm:education:extra_scouts,osm:education:extra_sports,osm:education:fees,osm:education:gender_type,osm:education:government_registered,osm:education:management_committee,osm:education:program_counselling,osm:education:program_feeding,osm:education:program_sanitary_towel,osm:education:pta,osm:education:students,osm:education:teachers,osm:education:teachers_female,osm:education:teachers_male,osm:education:teachers_trained,osm:education:tsc_employed,osm:education:type,osm:electricity:operational_status,osm:id,osm:image:classroom,osm:image:compound,osm:image:other,osm:image:outside,osm:is_in:constituency,osm:is_in:estate,osm:is_in:ward,osm:location,osm:name,osm:official_name,osm:operational_status:electricity,osm:operator:name,osm:operator:type,osm:place:village,osm:toilet:present,osm:contact:email,osm:education:fees_level4,osm:education:fees_level5,osm:education:program_orphans,osm:education:student_age_range,osm:education:students_female,osm:education:students_male,osm:opening_hours,osm:education:boarding,osm:education:fees_level1,osm:education:fees_level2,osm:education:fees_level3,osm:education:program_counseling,osm:education:program_other,osm:education:program_special_needs,osm:education:program_sports,osm:education:staff_female,osm:education:staff_male,osm:media:video_device_number,osm:media:video_number,osm:operational_status,osm:education:fees_optional,osm:education:school_head,osm:image,osm:is_in:village,osm:operator:description,osm:education:description,osm:education:fees_sponsored,osm:source,osm:education:exam_affiliate,osm:education:teachers_untrained,kenyaopendata:Acreage,kenyaopendata:Acreage per enrolment,kenyaopendata:Code,kenyaopendata:Day or Boarding,kenyaopendata:Girls/Boys/Mixed,kenyaopendata:Local Authority Female Teachers,kenyaopendata:Local Authority Male Teachers,kenyaopendata:Non Teaching Staff Female,kenyaopendata:Non Teaching Staff Male,kenyaopendata:Ordinary or Special,kenyaopendata:Other Female Teachers,kenyaopendata:Other Male Teachers,kenyaopendata:PTA Board of Governors Female Teacher,kenyaopendata:PTA Board of Governors Male Teacher,kenyaopendata:Public or Private,kenyaopendata:School Address,kenyaopendata:School Sponsor,kenyaopendata:School Zone,kenyaopendata:Sublocation,kenyaopendata:TSC Female Teachers,kenyaopendata:TSC Male Teachers,kenyaopendata:Total Enrolment 2007,kenyaopendata:Total Teaching staff,osm:education:fees_level6,osm:media:camera_device_number,osm:media:camera_number,osm:education:program_scouting,osm:education:program_description,osm:education:extra_other,osm:education:student_female,osm:education:student_male,osm:education:program_computers,osm:description,osm:station:type_description,osm:education:teachers_tsc,osm:designation,osm:security:gbv_support,osm:toilet:arranged_name,osm:education:program_specialneeds,osm:boundary_type:Constituency_boundary,osm:registered_voters,osm:building,osm:fee,osm:education:committees,osm:health_facility:referals,osm:medical_service:psychosocial_support_counselling,osm:medical_staff:counsellor,osm:medical_staff:description,osm:note,osm:contact:website,osm:addr:postcode,osm:website,osm:education:accessibility,osm:education:management_commitee,osm:education:program_WASH,osm:education:program_handwashing,osm:education:program_rain,osm:education:student_disable,osm:safe_place:acessible,osm:safe_place:compound,osm:safe_place:protected/secure,osm:safe_place:school,osm:security:description,osm:social_facility
"MULTIPOINT ((36.794168 -1.3138256),(36.789482 -1.312411))",1,LANGATA,NAIROBI,KIBERA,0,0,1,PRIMARY SCHOOL,0,0,KIBERA,0,0,8,1,0,0,NAIROBI,23,17.9,80.5,MIXED,DAY ONLY,ORDINARY,NGO/CBO,PRIVATE,1,0,161,0,7,0,LINDI USHIRIKA WA USAFI NA MAENDELEO-PRI SCH,2014/08/22,Blasio,foot,school,,1,ironsheets,ironsheets,"P O Box 7083-00200, Nairobi",0710895928,8_4_4,,,,,,2700,mixed,mgcsd,yes,,fees,,,270,7,5,2,3,,primary,often,node/612007413,,,,,,,,kibera,Lindi Ushirika Primary,LINDI USHIRIKA WA USAFI NA MAENDELEO-PRI SCH,never,Lindi Ushirika,cbo,Lindi,yes,,,,yes,3-14yrs,200,70,Mo-Fr 07:00-15:00,,,,,yes,,,yes,2,2,8,11,operational,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.7900295 -1.3084695))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015/01/03,JamesLC,small_cars,school,,1,ironsheets,ironsheets,P.O Box 21270,0722641917,,yes,yes,yes,yes,yes,,mixed,mgcsd,no,yes,yes,,yes,275,11,6,5,,,primary,always,node/612007446,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Schools%20Steve/Makina%20Baptist%20School/Classroom.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Schools%20Steve/Makina%20Baptist%20School/Compound.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Schools%20Steve/Makina%20Baptist%20School/Compound.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Schools%20Steve/Makina%20Baptist%20School/Sign.JPG,,,,kibera,Makina Baptist Primary School,,,Makina Baptist Self Help Group,cbo,Makina,yes,mbps@yahoo.com,2200,2600,,,150,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.7895003 -1.3084031),(36.789668 -1.309757))",,LANGATA,KIBERA,,,,,,,,KIBERA,,,,,,,NAIROBI,,,,,,,,,,,,,,,MASHIMONI CALVARY HIGH SCH,2015/01/03,JamesLC,big_vehicles,school,,1,ironsheets,ironsheets,P.O Box 19422-0200/ P.O Box 29816-0200,0701585051,8_4_4,yes,yes,yes,yes,yes,18000,mixed,mgcsd,yes,yes,yes,yes,yes,60,8,,8,,,secondary,always,node/612007447,,,,,,,,kibera,Calvary Educational Centre,MASHIMONI CALVARY HIGH SCH,,Calvary Evangelical Church,religious,Makina,yes,timothymulei@hotmail.com,,,,,40,20,,,,,,,,,,,,,,,,,,,,,,,,,0,,R1010286,,,0,0,0,0,ORDINARY,0,0,0,0,PRIVATE,,RELIGIOUS ORGANIZATION,,KIBERA,0,0,0,0,18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.7884157 -1.3111681))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014/07/28,Blasio,foot,school,,0,mud,ironsheets,,,other,,,,,,,mixed,mgcsd,,,,,,,,,,,,vocational,often,node/612007489,,,,,,,,kibera,Mzalendo High Technical Center,,,Ombima Munialo,private,Mashimoni,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.7785618 -1.3191359))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017/10/12,muindre,foot,school,,,cement_block,ironsheets,,0725656553,8_4_4,,,,,,,mixed,mgcsd,,,,,,81,3,3,,3,,pre_primary,never,node/612007505,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Schools%20Steve/St.%20Monica/Classroom.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Schools%20Steve/St.%20Monica/Establishment.JPG,,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Schools%20Steve/St.%20Monica/Sign.JPG,,,,kibera,St Monica Nursery School,,,,cbo,Raila,yes,,,,,,41,40,08:00-16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.7784823 -1.3192191))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010/08/31,ebrelsford,,library,,,,,,,,,,,,,,,,,,,,,,,,,,,library,,node/612007506,,,,,,,,kibera,Kibera Library,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.7794245 -1.313813),(36.778697 -1.311195))",2,LANGATA,NAIROBI,KIBERA,0,0,2,PRIMARY SCHOOL,0,0,SERA NGOMBE,0,2,5,3,0,0,NAIROBI,22.6,22.6,45.3,MIXED,DAY ONLY,ORDINARY,COMMUNITY,PRIVATE,1,80,181,101,8,0,PALM OLIVE ACADEMY,2014/09/02,mikelmaron,big_vehicles,school,,0,cement_block,ironsheets,"P O Box 29857-00100, Nairobi",0721608794,8_4_4,yes,,yes,yes,yes,,mixed,mgcsd,yes,yes,fees,,yes,,10,3,7,10,0,primary,sometimes,node/612007554,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Jacob/Palm%20Olive%20Academy/class.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Jacob/Palm%20Olive%20Academy/building.JPG,,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Jacob/Palm%20Olive%20Academy/gate.JPG,,,,kibera,Palm Olive Academy,PALM OLIVE ACADEMY,always,Robinson George,cbo,Olympic,yes,palmoliveacademy@yahoo.com,,,,21/2-14yrs,190,187,,,,,,yes,,,,2,1,,,operational,,Robinson George,,,information given was not complete,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,01,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.7801005 -1.3134749))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014/09/12,fondolucy,big_vehicles,school,,,,,,,,,,,,,,mixed,,,,,,,,,,,,,pre_primary,,node/612007576,,,,,,,,kibera,Robter Nursery School,,never,,private,Olympic,,,,,yes,2-6yrs,48,30,07:00-18:00,,,,,,,,,1,1,,,operational,,,,,No information was given,,,Map Kibera Trust,,,,,,,,,,,,,,,,,,,,,,,,,,,01,"39,40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.7773233 -1.3126169))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017/10/12,muindre,foot,school,,,,,,,,,,,,,,mixed,,,,,,,60,5,5,0,5,0,primary,,node/612007585,,,,,,,,kibera,AMMSA Junior Academy,,never,,private,Olympic,,,,,,21/2-9yrs,32,28,07:30-17:00,,,,,,,,,1,,,,operational,,,,,run by individual,,no,Map Kibera Trust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.794199 -1.3101007),(36.793546 -1.307685))",5,LANGATA,NAIROBI,KIBERA,0,0,8,PRIMARY SCHOOL,0,0,LAINI SABA,4,4,8,7,0,0,NAIROBI,41.4,24.9,28.7,MIXED,DAY ONLY,ORDINARY,RELIGIOUS ORGANIZATION,PRIVATE,1,170,373,203,9,0,LAINI SABA PRI. SCH,2015/01/03,JamesLC,foot,school,,2,concrete,ironsheets,"P O Box 21188 -00505, Nairobi",720200847,8_4_4,yes,yes,yes,yes,yes,11500,mixed,moe,yes,yes,fees,yes,yes,467,20,11,9,20,,primary,often,node/612007672,,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Laini%20Saba%20Primary%20School/building.JPG,,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Laini%20Saba%20Primary%20School/compound.JPG,,,,kibera,Laini Saba Primary School,LAINI SABA PRI. SCH,always,Catholic Church Laini Saba,religious,Laini Saba,yes,lasbapri@yahoo.com,,,,6-14yrs,224,243,Mo-Fr 07:30-17:00,,,,,yes,,,yes,4,6,,,operational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.7953065 -1.310952))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014/09/12,Blasio,small_cars,school,yes,0,concrete,ironsheets,,0727624116,8_4_4,yes,,yes,yes,yes,7200,mixed,mgcsd,yes,yes,fees,yes,yes,280,12,7,5,9,,primary,often,node/612007690,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/YMCA%20Kibera%20Center%20Primary%20School/class.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/YMCA%20Kibera%20Center%20Primary%20School/building.JPG,,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Wings%20of%20Life%20Children%20Center/sign%20post.JPG,Kibra,,Laini saba ward,kibera,YMCA School,,often,YMCA,ngo,Laini Saba,yes,,,,,3-14yrs,60,85,Mo-Fr 08:00-16:00,,,,,yes,,,yes,,2,,,operational,,,,Laini saba,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,v.t.t training centre available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.7947541 -1.3098221),(36.793986 -1.307206))",1,DAGORETTI,NAIROBI,DAGORETTI,0,0,1,PRIMARY SCHOOL,0,0,KENYATTA/GOLF COURSE,0,1,10,2,0,0,NAIROBI,39.9,33.3,199.5,MIXED,DAY ONLY,ORDINARY,COMMUNITY,PRIVATE,1,200,399,199,10,0,JAKES CENTER- PRI. SCH,2014/08/25,Blasio,foot,school,,0,ironsheets,ironsheets,,,8_4_4,,,,,,4500,mixed,mgcsd,,,no,,,130,8,3,5,0,,primary,often,node/612007716,,,,,,,,kibera,Jakes Academy,JAKES CENTER- PRI. SCH,always,Jakes Ministries,private,Laini Saba,yes,,,,yes,3-15yrs,320,190,Mo-Fr 08:00-16:00,,,,,yes,,,yes,2,1,,,operational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.7868672 -1.3141701))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015/01/03,JamesLC,foot,school,,,mud,ironsheets,P 0 Box 50534-00200i,0723268266/ 0721596086,8_4_4,,,yes,,yes,5400,mixed,mgcsd,yes,,,,yes,72,7,6,1,,,pre_primary,never,node/612007816,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Jacob/Linda%20Daycare%20School/IMG_0694.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Jacob/Linda%20Daycare%20School/IMG_0689.JPG,,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Jacob/Linda%20Daycare%20School/IMG_0688.JPG,,,,kibera,Linda Baby Care,,,Linda Care,cbo,Kisumu Ndogo,yes,carecentrelinda@yahoo.com,1800,,,,38,34,,,1800,1800,1800,,,,,,,,,,,Kevin Onyango,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.7888624 -1.3137782),(36.788292 -1.310996))",3,LANGATA,NAIROBI,KIBERA,0,0,2,PRIMARY SCHOOL,0,0,KIBERA,0,3,0,0,1,5,NAIROBI,64,42.7,51.2,MIXED,DAY ONLY,ORDINARY,PRIVATE INDIVIDUAL,PRIVATE,1,0,256,0,4,0,KISUMU NDOGO PRI SCH,2018/01/26,muindre,foot,school,,,mud,ironsheets,P.O Box 47347,0713716588,8_4_4,yes,,,yes,,7200,mixed,mgcsd,,,yes,yes,,228,10,3,7,,,primary,often,node/612007820,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Schools%20Steve/Kisumu%20Ndogo%20Day%20Nursery%20School/class.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Schools%20Steve/Kisumu%20Ndogo%20Day%20Nursery%20School/compound.JPG,,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Schools%20Steve/Kisumu%20Ndogo%20Day%20Nursery%20School/sign%20post.JPG,,,,kibera,Kisumu Ndogo Primary School,KISUMU NDOGO PRI SCH,never,Kisumu Ndogo CBO,cbo,Kisumu Ndogo,yes,,1400 per term,1400 per term,yes,3-15yrs,118,110,07:30-16:10,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.7770397 -1.3172201))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017/10/12,muindre,big_vehicles,school,,2,cement_block,ironsheets,"P O Box 101826-00100,Nairobi",0721924850,8_4_4,yes,yes,yes,yes,yes,9000,mixed,mgcsd,yes,yes,ngo,,yes,204,11,4,7,7,5,primary,always,node/612008370,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Schools%20Steve/St.%20Christine%20Educational%20Center/classroom.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Schools%20Steve/St.%20Christine%20Educational%20Center/compound.JPG,,,,,,kibera,St Christine,,,St. Christine Community Centre,cbo,Raila,yes,stchristine2010@yahoo.com,,,,4-16yrs,110,94,08:00-17:00,,,,,,,,,,,,,,2200,Daniel Ochieng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clubs-environmental, rights club, acrobatics, debates, christian union.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.7909977 -1.3146802))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015/04/14,muindre,foot,school,,0,ironsheets,ironsheets,P O Box 4669-00100 Nairobi,0710643156,8_4_4,,,,,,2700,mixed,mgcsd,yes,yes,from sch fees,,yes,30,10,6,4,6,,pre_primary,often,node/612008379,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Lind%20Friends%20School%20Baby%20School/class.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Lind%20Friends%20School%20Baby%20School/compound.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Lind%20Friends%20School%20Baby%20School/building.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Lind%20Friends%20School%20Baby%20School/sign%20post.JPG,,,,kibera,Lindi Friends School,,sometimes,Friends Church,religious,Lindi,yes,friendsschlkibera@gmail.com,,,yes,6-14yrs,,,Mo-Fr 07:00-17:00,,,,,yes,,,yes,2,2,,,operational,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.7762577 -1.3085809))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015/01/03,JamesLC,big_vehicles,school,,0,cement_block,ironsheets,"P O Box 5537-00100, Nairobi",0724852688,8_4_4,,,,,,15000,mixed,mgcsd,yes,,fees,,yes,300,8,7,1,8,1,pre_primary,always,node/612008500,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Jacob/Tenderlings%20School/IMG_0209.JPG,,,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Jacob/Tenderlings%20School/IMG_0213.JPG,,,,kibera,Tenderlings School,,always,Phellestus Jesca Mandela,private,Ayany,yes,tenderlingschool@yahoo.com,,,,2.5-6yrs,200,100,07:30-15:30,,,,,,,yes,yes,4,4,,,operational,,Phellestus Jesica Mandela,,,Run by individual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.7978307 -1.3132458))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015/04/16,Blasio,foot,school,,0,ironsheets,ironsheets,,,8_4_4,yes,,,,,5400,mixed,mgcsd,yes,,fees,,,95,3,3,0,3,,pre_primary,often,node/612008568,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/St.%20Bakhita%20Laini%20Saba/class.JPG,,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/St.%20Bakhita%20Laini%20Saba/gate.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/St.%20Bakhita%20Laini%20Saba/building.JPG,,,,kibera,St. Bakhita Pre-School-Soweto,,always,Catholic Church Soweto East,religious,Soweto East,yes,,,,,1-5years,39,47,Mo-Fr 08:00-15:00,,,,,,,,,2,,,,operational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.8023282 -1.3158218),(36.802069 -1.313157))",0,LANGATA,NAIROBI,KIBERA,0,0,0,PRIMARY SCHOOL,0,0,LAINI SABA,0,0,0,0,0,0,NAIROBI,,,,,,ORDINARY,RELIGIOUS ORGANIZATION,PRIVATE,0,0,0,0,0,0,VICTORIA HOPE CHILDREN CENTRE PRI SCH,2017/10/03,Blasio,big_vehicles,school,,0,ironsheets,ironsheets,"P O Box 40967 -00100, Nairobi",0723600514,8_4_4,,,,yes,yes,,mixed,mgcsd,yes,yes,other,yes,yes,223,15,9,6,5,,primary,often,node/612008576,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Victory%20Hope%20Children%20Center/kids.jpg,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Victory%20Hope%20Children%20Center/compound.jpg,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Victory%20Hope%20Children%20Center/class.jpg,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Victory%20Hope%20Children%20Center/sign%20post.jpg,,,,kibera,Victory Hope Community Centre,VICTORIA HOPE CHILDREN CENTRE PRI SCH,sometimes,Victory Hope Community Centre,cbo,Soweto East,yes,,5850,6300,,3-15yrs,110,113,Mo-Fr 08:00-16:00,no,5400,5400,5400,,,,yes,2,1,,,operational,,,,,,,,,Kibera Soweto School,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.7846634 -1.3114235))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014/08/29,fondolucy,,school,,,,,,,,,,,,,2250,mixed,,,,yes,,,58,4,2,2,3,,pre_primary,,node/612008715,,,,,,,,kibera,Charity Nursery School,,often,,private,Karanja,,,,,yes,3-6yrs,,,08:00-15:00,,,,,yes,,,,1,1,,,operational,,,,,No information was given,,,Map Kibera Trust,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.7728971 -1.3104398))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014/09/12,fondolucy,foot,school,,,,,,,,,,,,,,mixed,,,,,,,,,,,,,primary,,node/612008764,,,,,,,,kibera,Brothers Missionery Primary School,,always,,religious,Kianda,,,,,yes,7-15yrs,,,08:00-17:00,,,,,yes,,,yes,3,2,,,operational,,,,,No information was given,,,Map Kibera Trust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.7725816 -1.3090593))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010/08/31,ebrelsford,,library,,,,,,,,,,,,,,,,,,,,,,,,,,,library,,node/612008779,,,,,,,,kibera,G.A.A. Kibera Community Library,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
